Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
243,0.167486,0.0225464,0.0156756
244,0.166576,0.022342,0.0165596
245,0.167249,0.0224175,0.0165881
246,0.167027,0.0228194,0.0162003
247,0.166756,0.0223558,0.0165934
248,0.167584,0.0224245,0.0155907
249,0.167223,0.0224468,0.0165292
250,0.166557,0.0223279,0.0163387
251,0.167459,0.0226106,0.016132
252,0.16459,0.0223136,0.017076
253,0.167417,0.0221886,0.0171675
254,0.167786,0.0224744,0.0174046
255,0.166629,0.0224531,0.0170048
256,0.167501,0.0222952,0.0170204
257,0.164836,0.0222378,0.0181117
258,0.166845,0.0220958,0.0165331
259,0.165158,0.0226211,0.0166954
260,0.166275,0.0220622,0.0165157
261,0.168137,0.0223062,0.0185492
262,0.164389,0.0225316,0.0178672
263,0.167187,0.0221697,0.017413
264,0.165439,0.0223209,0.0175114
265,0.169807,0.0223717,0.0169387
266,0.170695,0.0221858,0.016549
267,0.164692,0.0224071,0.016533
268,0.167359,0.0221307,0.0157933
269,0.171738,0.0223129,0.0163541
270,0.16962,0.0221441,0.0163181
271,0.168785,0.0226325,0.0160786
272,0.168679,0.0223619,0.0159447
273,0.174362,0.0224294,0.0154233
274,0.165064,0.0226266,0.0170415
275,0.167787,0.0222281,0.0162296
276,0.166718,0.0223341,0.0172692
277,0.164768,0.0223846,0.0174962
278,0.177219,0.0221331,0.0165825
279,0.169571,0.0226361,0.0174484
280,0.164669,0.0224877,0.0171799
281,0.169016,0.0220664,0.0158941
282,0.164591,0.0223677,0.0163647
283,0.177352,0.0221224,0.0149599
284,0.165429,0.0225472,0.0159325
285,0.167289,0.0221914,0.0172162
286,0.170882,0.0226608,0.0166011
287,0.1633,0.0220561,0.0183767
288,0.163305,0.0221594,0.0172864
289,0.1636,0.0221792,0.0189427
290,0.164417,0.0221666,0.0190746
291,0.166861,0.0220615,0.0153656
292,0.179976,0.0220869,0.01761
293,0.165036,0.022661,0.0180849
294,0.164495,0.0224247,0.0167207
295,0.181937,0.0222766,0.0192569
296,0.174498,0.0223309,0.018518
297,0.166816,0.0224586,0.0178118
298,0.164536,0.0223375,0.0177068
299,0.166771,0.0221343,0.0148877
300,0.163849,0.0228472,0.0165324
301,0.166113,0.0220237,0.0148877
302,0.164481,0.0223319,0.0178874
303,0.178208,0.0221949,0.0158764
304,0.165574,0.0226481,0.0166681
305,0.168593,0.0221504,0.0163955
306,0.176595,0.022181,0.0181781
307,0.16552,0.0222287,0.0187989
308,0.16616,0.0223133,0.0179844
309,0.163719,0.0222003,0.0182894
310,0.165473,0.0222004,0.0183826
311,0.183125,0.0219521,0.0186039
312,0.202381,0.0223459,0.0178775
313,0.179951,0.0222682,0.0191744
314,0.16351,0.0224271,0.0167575
315,0.167863,0.0219743,0.0173665
316,0.167334,0.0224573,0.0178312
